nomeFaculdade,nomeCurso,nomeTipo,nomeTurno,nomeModalidade,nomeLocal,nomePreco
"Faculdade BILAC","Administração","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 307,30"
"Faculdade BILAC","Ciências Contábeis","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 307,30"
"Faculdade BILAC","Gestão Financeira","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 306,75"
"ETEP Faculdades","Análise e Desenvolvimento de Sistemas","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 299,25"
"Faculdade BILAC","Marketing","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 269,25"
"Faculdade BILAC","Gestão de Recursos Humanos","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 269,25"
"Faculdade BILAC","Logística","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 269,25"
"ETEP Faculdades","Ciências Contábeis","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 216,75"
"ETEP Faculdades","Marketing Digital","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 186,75"
"ETEP Faculdades","Gestão Financeira","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 344,25"
"ETEP Faculdades","Gestão Comercial","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 344,25"
"ETEP Faculdades","Logística","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 344,25"
"ETEP Faculdades","Gestão de Recursos Humanos","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 269,25"
"ETEP Faculdades","Gestão Financeira","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 269,25"
"ETEP Faculdades","Administração","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 356,30"
"ETEP Faculdades","Marketing Digital","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 344,25"
"ETEP Faculdades","Gestão Financeira","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM SATÉLITE - SÃO JOSÉ DOS CAMPOS","R$ 344,25"
"ETEP Faculdades","Fabricação Mecânica","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 311,22"
"ETEP Faculdades","Engenharia Automotiva","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 629,30"
"ETEP Faculdades","Engenharia Automotiva","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 699,30"
"ETEP Faculdades","Engenharia Elétrica","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 674,25"
"ETEP Faculdades","Engenharia Civil","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 383,50"
"ETEP Faculdades","Fabricação Mecânica","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 311,22"
"ETEP Faculdades","Engenharia Automotiva","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 629,30"
"ETEP Faculdades","Engenharia Automotiva","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 699,30"
"ETEP Faculdades","Engenharia da Computação","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 584,35"
"ETEP Faculdades","Engenharia de Produção","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 649,35"
"ETEP Faculdades","Engenharia Elétrica","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 749,25"
"ETEP Faculdades","Engenharia Mecatrônica","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 629,30"
"ETEP Faculdades","Análise e Desenvolvimento de Sistemas","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 374,25"
"ETEP Faculdades","Redes de Computadores","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 299,25"
"ETEP Faculdades","Redes de Computadores","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 374,25"
"ETEP Faculdades","Engenharia de Produção","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 584,35"
"ETEP Faculdades","Engenharia Elétrica","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 674,25"
"ETEP Faculdades","Engenharia Civil","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 383,50"
"ETEP Faculdades","Administração","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 356,30"
"ETEP Faculdades","Engenharia da Computação","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 649,35"
"ETEP Faculdades","Fabricação Mecânica","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 389,22"
"ETEP Faculdades","Engenharia Mecatrônica","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 699,30"
"ETEP Faculdades","Engenharia Aeronáutica","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 674,25"
"ETEP Faculdades","Gestão Hospitalar","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM ESPLANADA - SÃO JOSÉ DOS CAMPOS","R$ 194,22"
"INPG Business School","Gestão de Tecnologia da Informação","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 373,67"
"INPG Business School","Ciências Contábeis","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 613,61"
"INPG Business School","Processos Gerenciais","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 373,67"
"INPG Business School","Gestão de Recursos Humanos","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 373,67"
"INPG Business School","Gestão Financeira","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 373,67"
"INPG Business School","Logística","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 373,67"
"INPG Business School","Administração","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 613,61"
"INPG Business School","Análise e Desenvolvimento de Sistemas","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 373,67"
"INPG Business School","Gestão Comercial","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM AQUARIUS - SÃO JOSÉ DOS CAMPOS","R$ 373,67"
"Faculdade BILAC","Ciência da Computação","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 381,42"
"Faculdade BILAC","Engenharia da Computação","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 381,42"
"Faculdade BILAC","Análise e Desenvolvimento de Sistemas","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 276,75"
"Faculdade BILAC","Análise e Desenvolvimento de Sistemas","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 326,82"
"Faculdade BILAC","Redes de Computadores","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 276,75"
"Faculdade BILAC","Redes de Computadores","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 314,25"
"Faculdade BILAC","Sistemas para Internet","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 276,75"
"Faculdade BILAC","Sistemas para Internet","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 314,25"
"Faculdade BILAC","Pedagogia","LICENCIATURA (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 366,75"
"Faculdade BILAC","Engenharia da Computação","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 490,62"
"Faculdade BILAC","Ciência da Computação","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 459,42"
"Faculdade BILAC","Gestão Financeira","TECNÓLOGO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 269,25"
"Faculdade BILAC","Marketing","TECNÓLOGO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 306,75"
"Faculdade BILAC","Engenharia de Produção","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","CENTRO - SÃO JOSÉ DOS CAMPOS","R$ 490,62"
"Faculdades Anhanguera","Administração","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 461,76"
"Faculdades Anhanguera","Nutrição","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 472,00"
"Faculdades Anhanguera","Nutrição","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 565,34"
"Faculdades Anhanguera","Psicologia","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 618,67"
"Faculdades Anhanguera","Psicologia","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 798,67"
"Faculdades Anhanguera","Publicidade e Propaganda","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 630,18"
"Faculdades Anhanguera","Engenharia da Computação","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 784,56"
"Faculdades Anhanguera","Arquitetura e Urbanismo","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 700,35"
"Faculdades Anhanguera","Biomedicina","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 592,00"
"Faculdades Anhanguera","Ciências Contábeis","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 492,00"
"Faculdades Anhanguera","Educação Física","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 505,34"
"Faculdades Anhanguera","Educação Física","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 665,34"
"Faculdades Anhanguera","Engenharia Civil","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 798,67"
"Faculdades Anhanguera","Engenharia de Produção","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 693,34"
"Faculdades Anhanguera","Engenharia Elétrica","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 707,37"
"Faculdades Anhanguera","Engenharia Mecânica","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 705,34"
"Faculdades Anhanguera","Farmácia","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 612,00"
"Faculdades Anhanguera","Engenharia da Computação","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","RIO COMPRIDO - SÃO JOSÉ DOS CAMPOS","R$ 784,56"
"Universidade Paulista","Relações Internacionais","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 317,71"
"Universidade Paulista","Pedagogia","LICENCIATURA (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 304,87"
"Universidade Paulista","Letras - Português e Inglês","LICENCIATURA (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 276,96"
"Universidade Paulista","Educação Física","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 467,46"
"Universidade Paulista","Biomedicina","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 525,62"
"Universidade Paulista","Direito","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 686,32"
"Universidade Paulista","Nutrição","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 650,12"
"Universidade Paulista","Fisioterapia","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 632,77"
"Universidade Paulista","Biomedicina","BACHARELADO (GRADUAÇÃO)","MANHÃ","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 433,77"
"Universidade Paulista","Engenharia da Computação","BACHARELADO (GRADUAÇÃO)","NOITE","PRESENCIAL","JARDIM DAS INDÚSTRIAS - SÃO JOSÉ DOS CAMPOS","R$ 483,14"
